cena klienta,km ³adowne,czas,data 1 za³adunku,data ost roz³adunku,wsp za³,wsp za³,wsp roz³ad,wsp roz³ad,,wylkm,roznicakm,%
875,1049,2,14/05/14 8:00,14/05/16 8:00,44.00580000,4.66030000,41.9166,13.6177,,764,285,72.83126787
450,515,1,14/05/21 8:00,14/05/22 8:00,45.85000000,0.10000000,49.4716,2.4707,,440,75,85.4368932
225,360,1,14/05/22 8:00,14/05/23 8:00,49.18800000,1.81180000,51.2333,4.1167,,280,80,77.77777778
500,565,0.625,14/03/05 17:00,14/03/06 8:00,52.25000000,13.50000000,49.1333,11.8667,,365,200,64.60176991
280,368,2.916666667,14/03/07 16:00,14/03/10 14:00,47.88330000,13.10000000,46.02,12.6931,,209,159,56.79347826
900,505,0.854166667,14/03/10 15:30,14/03/11 12:00,46.45610000,13.08280000,46.3508,8.951,,316,189,62.57425743
1650,1078,1.822916667,14/03/12 12:00,14/03/14 7:45,45.71350000,9.45270000,47.4698,-1.0274,,823,255,76.34508349
430,736,1,14/03/17 16:00,14/03/18 16:00,43.68760000,5.23390000,45.7733,11.6269,,555,181,75.4076087
1900,1240,1.708333333,14/03/19 15:00,14/03/21 8:00,45.70440000,12.03500000,49.1917,1.9097,,853,387,68.79032258
225,361,3,14/03/21 8:00,14/03/24 8:00,49.18800000,1.81180000,51.2333,4.1167,,280,81,77.56232687
620,885,2,14/03/25 8:00,14/03/27 8:00,51.41670000,4.41670000,51.8333,15,,731,154,82.59887006
190,176,0.75,14/04/02 14:00,14/04/03 8:00,50.96670000,16.28330000,50.55,14.4833,,134,42,76.13636364
650,612,1,14/04/03 10:00,14/04/04 10:00,50.96670000,14.66670000,48.6594,9.9494,,424,188,69.28104575
1350,1266,2,14/04/07 8:00,14/04/09 8:00,48.01670000,9.65000000,46.6577,-1.1651,,828,438,65.4028436
500,672,1,14/04/10 8:00,14/04/11 8:00,45.90000000,2.26670000,49.3833,6.5,,500,172,74.4047619
710,980,2.916666667,14/04/11 14:00,14/04/14 12:00,49.30270000,6.70060000,45.9136,8.9046,,411,569,41.93877551
1000,724,0.916666667,14/04/14 16:00,14/04/15 14:00,45.62210000,9.10860000,48.7887,10.2058,,361,363,49.86187845
600,684,0.958333333,14/04/28 8:00,14/04/29 7:00,47.91670000,8.31670000,52.5585,8.3046,,516,168,75.43859649
850,737,1.645833333,14/04/30 14:00,14/05/02 5:30,53.44010000,7.91580000,48.8833,10.9,,547,190,74.21981004
1000,901,1.291666667,14/05/07 8:00,14/05/08 15:00,45.87310000,8.95640000,49.5524,9.5088,,411,490,45.61598224
510,669,1,14/05/08 8:00,14/05/09 8:00,49.21440000,9.66720000,45.9802,11.8074,,393,276,58.74439462
1150,1054,1.333333333,14/05/13 8:00,14/05/14 16:00,46.12190000,10.88460000,52.5158,9.7287,,715,339,67.83681214
360,609,0.833333333,14/05/15 16:00,14/05/16 12:00,51.53340000,9.85800000,51.1333,17.3,,518,91,85.05747126
1250,1113,2.666666667,14/05/23 16:00,14/05/26 8:00,51.24710000,14.42980000,49.1482,2.1917,,900,213,80.86253369
1100,911,1,14/05/26 8:00,14/05/27 8:00,48.96700000,2.66870000,43.7624,7.1278,,672,239,73.7650933
1100,905,4,14/05/29 14:00,14/06/02 14:00,44.53570000,8.34370000,49.0811,2.5929,,668,237,73.8121547
580,620,1,14/06/02 8:00,14/06/03 8:00,49.51310000,2.34400000,45.0381,4.8916,,533,87,85.96774194
800,667,0.666666667,14/06/04 8:00,14/06/05 0:00,45.44630000,4.27410000,47.765,9.3597,,466,201,69.86506747
650,626,4.75,14/06/05 18:00,14/06/10 12:00,48.30000000,10.11670000,51.3694,6.9253,,410,216,65.49520767
570,714,0.833333333,14/06/10 13:00,14/06/11 9:00,51.66440000,7.37390000,51.4,16.2,,610,104,85.43417367
650,362,0.666666667,14/06/17 16:00,14/06/18 8:00,51.35000000,15.01670000,49.9314,12.1733,,255,107,70.44198895
530,637,2,14/06/18 8:00,14/06/20 8:00,50.41670000,11.93330000,46.1185,11.0633,,482,155,75.66718995
1300,776,3,14/06/20 12:00,14/06/23 12:00,45.94990000,11.45890000,48.0794,6.7628,,427,349,55.0257732
400,411,0.666666667,14/06/23 19:00,14/06/24 11:00,48.40090000,5.94840000,49.3875,9.6422,,291,120,70.80291971
900,673,0.875,14/06/24 18:00,14/06/25 15:00,49.76530000,9.70420000,48.9461,2.3527,,539,134,80.08915305
630,679,1,14/06/26 8:00,14/06/27 8:00,49.98330000,1.98330000,48.9333,8.8167,,507,172,74.66863034
660,676,2.583333333,14/06/27 22:00,14/06/30 12:00,48.71100000,9.22320000,53.2854,8.7463,,509,167,75.29585799
500,642,1,14/07/01 8:00,14/07/02 8:00,53.96670000,8.90000000,52,14.9667,,461,181,71.80685358
800,789,0.583333333,14/07/29 18:00,14/07/30 8:00,51.16670000,16.35000000,47.6667,9.75,,615,174,77.94676806
2400,1025,3.958333333,14/08/01 8:00,14/08/05 7:00,45.58390000,11.04230000,48.0312,1.6958,,760,265,74.14634146
850,636,0.916666667,14/08/05 11:00,14/08/06 9:00,48.11490000,2.10300000,44.1268,4.9445,,494,142,77.67295597
2400,997,4,14/08/07 8:00,14/08/11 8:00,46.01760000,8.82640000,48.9649,1.9292,,612,385,61.38415246
212,334,0.791666667,14/08/12 20:00,14/08/13 15:00,49.23520000,1.57830000,51.05,3.6,,247,87,73.95209581
470,567,0.854166667,14/08/13 13:00,14/08/14 9:30,51.41670000,4.41670000,53.7389,10.0344,,458,109,80.77601411
210,291,0.729166667,14/08/14 15:30,14/08/15 9:00,53.60650000,9.92560000,52.7167,13.4,,251,40,86.25429553
560,675,0.833333333,14/08/25 16:00,14/08/26 12:00,51.43330000,14.88330000,52.7,6.9667,,558,117,82.66666667
2210,1514,2.125,14/08/26 16:00,14/08/28 19:00,53.16140000,7.34380000,46.6812,3.9795,,759,755,50.1321004
750,518,3.125,14/08/29 8:00,14/09/01 11:00,46.32480000,4.73870000,43.8667,6.9167,,322,196,62.16216216
900,349,0.166666667,14/09/02 8:00,14/09/02 12:00,45.25000000,7.66670000,45.4397,4.6707,,235,114,67.33524355
680,555,0.958333333,14/09/03 15:00,14/09/04 14:00,45.32070000,3.52960000,49.4167,1.1667,,488,67,87.92792793
